Date,Description,Amount,Balance
2024-12-01,Salary Credit,50000,50000
2024-12-02,Zomato Food Order,600,49400
2024-12-03,Uber Ride,250,49150
2024-12-04,Amazon Shopping,1200,47950
2024-12-05,Rent Payment,15000,32950
2024-12-06,Swiggy Food,450,32500
2024-12-07,Electricity Bill,800,31700
2024-12-08,Netflix Subscription,499,31201
2024-12-09,Petrol,1500,29701
2024-12-10,Zomato Food,550,29151
2024-12-11,EMI Payment,8000,21151
2024-12-12,Medical Pharmacy,1200,19951
2024-12-13,Uber Ride,300,19651
2024-12-14,Flipkart Shopping,2500,17151
2024-12-15,Swiggy Food,650,16501
2024-12-16,Internet Bill,600,15901
2024-12-17,Zomato Food,700,15201
2024-12-18,EMI Payment,8000,7201
2024-12-19,Petrol,1200,6001
2024-12-20,Amazon Shopping,1800,4201
2024-12-21,Swiggy Food,500,3701
2024-12-22,Uber Ride,200,3501
2024-12-23,Zomato Food,600,2901
2024-12-24,Netflix Subscription,499,2402
2024-12-25,Swiggy Food,750,1652
2024-12-26,Petrol,1000,652
2024-12-27,EMI Payment,8000,-7348
2024-12-28,Salary Credit,50000,42652
2024-12-29,Zomato Food,600,42052
2024-12-30,Uber Ride,250,41802
2024-12-31,Amazon Shopping,1500,40302

